type;mapping;subject_id;subject_label;predicate_id;predicate_modifier;object_id;object_label;replaces;aligns;implements
standard;hrim:7C46B10D;onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:8DC2CC88;onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:IndeterminateSex;"""Indeterminate Sex""@en";;;
standard;hrim:D847100A;onz-g:Intersexual;"""Intersexe geslacht""@nl";hriv:hasExactMeaning;Not;hrio:PhenotypicAmbiguousSex;"""Phenotypic Ambiguous Sex""@en";;;
standard;hrim:1c56bebe;onz-g:Man;"""Man""@nl";hriv:hasExactMeaning;;hrio:MaleBiologicalPerson;"""Male Biological Person""@en";;;
standard;hrim:381DC90E;onz-g:Man;"""Man""@nl";hriv:hasExactMeaning;Not;hrio:MaleSexPerson;"""Male-sex Person""@en";hrim:1c56bebe;;
standard;hrim:58437A78;onz-g:Man;"""Man""@nl";hriv:hasExactMeaning;Not;hrio:MaleSexPerson;"""Male-sex Person""@en";hrim:1c56bebe;;
standard;hrim:14D83083;onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSexPerson;"""Female-sex Person""@en";hrim:1ce9d055;;
standard;hrim:1ce9d055;onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;;hrio:FemaleBiologicalPerson;"""Female Biological Person""@en";;;
standard;hrim:C35827FE;onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleGenderPerson;"""Female-gender Person""@en";hrim:1ce9d055;;
standard;hrim:E774CD0D;onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleGenderPerson;"""Female-gender Person""@en";hrim:1ce9d055;;
standard;hrim:F496E3B2;onz-g:Woman;"""Vrouw""@nl";hriv:hasExactMeaning;Not;hrio:FemaleSexPerson;"""Female-sex Person""@en";hrim:1ce9d055;;
standard;hrim:0536F7E2;snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicFemaleSex;"""Phenotypic Female Sex""@en";;;
standard;hrim:21D70200;snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicFemaleSex;"""Karyotypic Female Sex""@en";;;
standard;hrim:2EA1BCDC;snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:PhenotypicFemaleSex;"""Phenotypic Female Sex""@en";;;
standard;hrim:4BAF6C9F;snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:FemaleSexPerson;"""Female-sex Person""@en";;;
standard;hrim:6C791C6C;snomed:248152002;"""Female (finding)""@en";hriv:hasExactMeaning;Not;hrio:KaryotypicFemaleSex;"""Karyotypic Female Sex""@en";;;
